"Zeitstempel";"Direktverbrauch [W]";"Batterie Entladen [W]";"Netzbezug [W]";"Hausverbrauch [W]"
"01.05.2025 00:00:00";"";"489";"2";"416"
"01.05.2025 01:00:00";"";"433";"2";"362"
"01.05.2025 02:00:00";"";"395";"3";"325"
"01.05.2025 03:00:00";"";"416";"3";"345"
"01.05.2025 04:00:00";"";"480";"3";"410"
"01.05.2025 05:00:00";"";"459";"2";"387"
"01.05.2025 06:00:00";"";"392";"3";"322"
"01.05.2025 07:00:00";"";"201";"3";"313"
"01.05.2025 08:00:00";"";"0";"5";"404"
"01.05.2025 09:00:00";"";"0";"4";"440"
"01.05.2025 10:00:00";"";"1068";"24";"4202"
"01.05.2025 11:00:00";"";"722";"104";"4274"
"01.05.2025 12:00:00";"";"0";"4";"2892"
"01.05.2025 13:00:00";"";"49";"1";"4481"
"01.05.2025 14:00:00";"";"241";"14";"4289"
"01.05.2025 15:00:00";"";"52";"2";"4137"
"01.05.2025 16:00:00";"";"46";"1";"3581"
"01.05.2025 17:00:00";"";"45";"0";"2675"
"01.05.2025 18:00:00";"";"46";"0";"1927"
"01.05.2025 19:00:00";"";"71";"2";"626"
"01.05.2025 20:00:00";"";"104";"2";"397"
"01.05.2025 21:00:00";"";"1621";"95";"1750"
"01.05.2025 22:00:00";"";"787";"7";"701"
"01.05.2025 23:00:00";"";"890";"4";"796"
"02.05.2025 00:00:00";"";"542";"5";"466"
"02.05.2025 01:00:00";"";"407";"2";"337"
"02.05.2025 02:00:00";"";"401";"2";"332"
"02.05.2025 03:00:00";"";"491";"2";"418"
"02.05.2025 04:00:00";"";"465";"2";"394"
"02.05.2025 05:00:00";"";"390";"2";"321"
"02.05.2025 06:00:00";"";"387";"3";"316"
"02.05.2025 07:00:00";"";"530";"4";"595"
"02.05.2025 08:00:00";"";"50";"7";"487"
"02.05.2025 09:00:00";"";"0";"6";"412"
"02.05.2025 10:00:00";"";"0";"2";"376"
"02.05.2025 11:00:00";"";"14";"0";"395"
"02.05.2025 12:00:00";"";"45";"0";"467"
"02.05.2025 13:00:00";"";"45";"0";"389"
"02.05.2025 14:00:00";"";"121";"1";"777"
"02.05.2025 15:00:00";"";"45";"0";"531"
"02.05.2025 16:00:00";"";"45";"0";"453"
"02.05.2025 17:00:00";"";"260";"8";"836"
"02.05.2025 18:00:00";"";"182";"5";"1608"
"02.05.2025 19:00:00";"";"1040";"116";"2148"
"02.05.2025 20:00:00";"";"681";"51";"1396"
"02.05.2025 21:00:00";"";"602";"6";"689"
"02.05.2025 22:00:00";"";"831";"6";"743"
"02.05.2025 23:00:00";"";"1099";"6";"998"
"03.05.2025 00:00:00";"";"647";"3";"568"
"03.05.2025 01:00:00";"";"556";"2";"483"
"03.05.2025 02:00:00";"";"546";"2";"471"
"03.05.2025 03:00:00";"";"469";"2";"400"
"03.05.2025 04:00:00";"";"496";"2";"424"
"03.05.2025 05:00:00";"";"546";"2";"500"
"03.05.2025 06:00:00";"";"564";"3";"530"
"03.05.2025 07:00:00";"";"447";"9";"465"
"03.05.2025 08:00:00";"";"120";"2";"387"
"03.05.2025 09:00:00";"";"591";"83";"1276"
"03.05.2025 10:00:00";"";"221";"25";"1141"
"03.05.2025 11:00:00";"";"0";"7";"560"
"03.05.2025 12:00:00";"";"0";"4";"784"
"03.05.2025 13:00:00";"";"27";"21";"1558"
"03.05.2025 14:00:00";"";"0";"15";"1455"
"03.05.2025 15:00:00";"";"48";"1";"1194"
"03.05.2025 16:00:00";"";"48";"0";"980"
"03.05.2025 17:00:00";"";"592";"3";"1199"
"03.05.2025 18:00:00";"";"199";"4";"734"
"03.05.2025 19:00:00";"";"460";"6";"1140"
"03.05.2025 20:00:00";"";"114";"1";"496"
"03.05.2025 21:00:00";"";"650";"3";"602"
"03.05.2025 22:00:00";"";"866";"5";"779"
"03.05.2025 23:00:00";"";"1185";"5";"1078"
"04.05.2025 00:00:00";"";"598";"5";"520"
"04.05.2025 01:00:00";"";"489";"3";"417"
"04.05.2025 02:00:00";"";"532";"2";"458"
"04.05.2025 03:00:00";"";"473";"2";"402"
"04.05.2025 04:00:00";"";"428";"2";"359"
"04.05.2025 05:00:00";"";"555";"3";"481"
"04.05.2025 06:00:00";"";"483";"3";"436"
"04.05.2025 07:00:00";"";"169";"8";"385"
"04.05.2025 08:00:00";"";"4";"9";"429"
"04.05.2025 09:00:00";"";"134";"3";"425"
"04.05.2025 10:00:00";"";"3";"7";"631"
"04.05.2025 11:00:00";"";"103";"26";"1756"
"04.05.2025 12:00:00";"";"0";"7";"600"
"04.05.2025 13:00:00";"";"151";"10";"1071"
"04.05.2025 14:00:00";"";"44";"9";"1464"
"04.05.2025 15:00:00";"";"658";"242";"2494"
"04.05.2025 16:00:00";"";"288";"45";"2252"
"04.05.2025 17:00:00";"";"58";"8";"670"
"04.05.2025 18:00:00";"";"74";"15";"565"
"04.05.2025 19:00:00";"";"557";"153";"1131"
"04.05.2025 20:00:00";"";"806";"27";"1079"
"04.05.2025 21:00:00";"";"1078";"6";"1012"
"04.05.2025 22:00:00";"";"545";"3";"469"
"04.05.2025 23:00:00";"";"597";"3";"520"
"05.05.2025 00:00:00";"";"504";"2";"430"
"05.05.2025 01:00:00";"";"41";"7734";"7747"
"05.05.2025 02:00:00";"";"18";"7873";"7873"
"05.05.2025 03:00:00";"";"18";"7851";"7851"
"05.05.2025 04:00:00";"";"18";"7793";"7793"
"05.05.2025 05:00:00";"";"18";"7841";"7841"
"05.05.2025 06:00:00";"";"509";"19";"452"
